std_inchi_key,receptor_name,Standard_Value,pChEMBL_Value
AIBKIFHSQQYXLG-UHFFFAOYSA-N,ERa,120.0,6.949999999999999
AIBKIFHSQQYXLG-UHFFFAOYSA-N,ERb,10.5,8.02
AICOQICFGBXDBO-UHFFFAOYSA-N,ERa,283.0,6.55
AICOQICFGBXDBO-UHFFFAOYSA-N,ERb,3.4,8.47
AIFWSSWVFCKBHO-UHFFFAOYSA-N,ERa,15.785,8.065
AIFWSSWVFCKBHO-UHFFFAOYSA-N,ERb,93.495,7.03
AIGXJDUFDDOCJM-SFHVURJKSA-N,PR,400.0,6.4
AIHZOMOUVPLYEC-UHFFFAOYSA-N,AR,1593.0,5.8
AIJCXGMYMXUYRY-SHTZXODSSA-N,AR,690.0,6.16
AIKLCYAFOOBGEV-BVAGGSTKSA-N,AR,1000.0,6.0
AIKLCYAFOOBGEV-JYFHCDHNSA-N,AR,1100.0,5.96
AIKLCYAFOOBGEV-OZXSUGGESA-N,AR,1000.0,6.0
AIKLCYAFOOBGEV-ZEQKJWHPSA-N,AR,1100.0,5.96
AIKSLNBRGQEFBC-XKZIYDEJSA-N,GR,1.6,8.8
AIPSXDXZFKITIG-JNQJZLCISA-N,GR,3.21,8.53
AITQEDQOJHUDMT-UHFFFAOYSA-N,GR,801.0,6.1
AIUGLKITLOOGIK-NRFANRHFSA-N,GR,15.85,7.8
AJAOWKDQDBTLKO-UHFFFAOYSA-N,AR,11700.0,4.93
AJAOWKDQDBTLKO-UHFFFAOYSA-N,GR,5.4,8.27
AJAOWKDQDBTLKO-UHFFFAOYSA-N,MR,690.0,6.16
AJAOWKDQDBTLKO-UHFFFAOYSA-N,PR,1700.0,5.77
AJEGJMXIGLQBMU-UHFFFAOYSA-N,ERa,22118.11,4.66
AJFQZAYESNNIFS-UHFFFAOYSA-N,AR,630.0,6.2
AJIJLKQDRINXAZ-XOKHWMEBSA-N,ERa,574.0,6.24
AJIJLKQDRINXAZ-XOKHWMEBSA-N,ERb,155.0,6.81
AJIPIJNNOJSSQC-NYLIRDPKSA-N,ERa,4.9,8.31
AJIPIJNNOJSSQC-NYLIRDPKSA-N,ERb,19.0,7.72
AJJYMQGHGPINNM-NDEPHWFRSA-N,GR,8.065,8.845
AJLAWJCSMROZRD-XZXJUTCTSA-N,AR,1717.0,5.76
AJLAWJCSMROZRD-XZXJUTCTSA-N,ERa,4643.0,5.33
AJLAWJCSMROZRD-XZXJUTCTSA-N,ERb,286.0,6.54
AJQAYWDOSZZMGP-UHFFFAOYSA-N,AR,258.0,6.59
AJRQXIWRZSQDHR-UHFFFAOYSA-N,GR,54.0,7.27
AJVNNKIEOHHFDG-XNTDXEJSSA-N,ERa,10000.0,5.0
